time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
290,376.373,302.06,370.344,302.06,0,0.08543
291,376.373,302.06,370.344,302.06,0,0.08543
291,376.373,302.06,370.344,302.06,0,0.08543
295,376.373,302.06,370.344,302.06,0,0.08543
295,376.373,302.06,370.344,302.06,0,0.08543
296,376.373,302.06,370.344,302.06,0,0.08543
296,376.373,302.06,370.344,302.06,0,0.08543
300,376.373,302.06,370.344,302.06,0,0.08543
300,376.373,302.06,370.344,302.06,0,0.08543
301,376.373,302.06,370.344,302.06,0,0.08543
301,376.373,302.06,370.344,302.06,0,0.08543
305,376.373,302.06,370.344,302.06,0,0.08543
305,376.373,302.06,370.344,302.06,0,0.08543
306,376.373,302.06,370.344,302.06,0,0.08543
306,376.373,302.06,370.344,302.06,0,0.08543
310,376.373,302.06,370.344,302.06,0,0.08543
310,376.373,302.06,370.344,302.06,0,0.08543
311,376.373,302.06,370.344,302.06,0,0.08543
311,376.373,302.06,370.344,302.06,0,0.08543
315,376.373,302.06,370.344,302.06,0,0.08543
315,376.373,302.06,370.344,302.06,0,0.08543
316,376.373,302.06,370.344,302.06,0,0.08543
316,376.373,302.06,370.344,302.06,0,0.08543
320,376.373,302.06,370.344,302.06,0,0.08543
320,376.373,302.06,370.344,302.06,0,0.08543
321,376.373,302.06,370.344,302.06,0,0.08543
321,376.373,302.06,370.344,302.06,0,0.08543
325,376.373,302.06,370.344,302.06,0,0.08543
325,376.373,302.06,370.344,302.06,0,0.08543
326,376.373,302.06,370.344,302.06,0,0.08543
326,376.373,302.06,370.344,302.06,0,0.08543
330,376.373,302.06,370.344,302.06,0,0.08543
330,376.373,302.06,370.344,302.06,0,0.08543
331,376.373,302.06,370.344,302.06,0,0.08543
331,376.373,302.06,370.344,302.06,0,0.08543
335,376.373,302.06,370.344,302.06,0,0.08543
335,376.373,302.06,370.344,302.06,0,0.08543
336,376.373,302.06,370.344,302.06,0,0.08543
336,376.373,302.06,370.344,302.06,0,0.08543
340,376.373,302.06,370.344,302.06,0,0.08543
340,376.373,302.06,370.344,302.06,0,0.08543
341,376.373,302.06,370.344,302.06,0,0.08543
341,376.373,302.06,370.344,302.06,0,0.08543
345,376.373,302.06,370.344,302.06,0,0.08543
345,376.373,302.06,370.344,302.06,0,0.08543
346,376.373,302.06,370.344,302.06,0,0.08543
346,376.373,302.06,370.344,302.06,0,0.08543
350,376.373,302.06,370.344,302.06,0,0.08543
350,376.373,302.06,370.344,302.06,0,0.08543
351,376.373,302.06,370.344,302.06,0,0.08543
351,376.373,302.06,370.344,302.06,0,0.08543
355,376.373,302.06,370.344,302.06,0,0.08543
355,376.373,302.06,370.344,302.06,0,0.08543
356,376.373,302.06,370.344,302.06,0,0.08543
356,376.373,302.06,370.344,302.06,0,0.08543
360,376.373,302.06,370.344,302.06,0,0.08543
360,376.373,302.06,370.344,302.06,0,0.08543
361,376.373,302.06,370.344,302.06,0,0.08543
361,376.373,302.06,370.344,302.06,0,0.08543
365,376.373,302.06,370.344,302.06,0,0.08543
365,376.373,302.06,370.344,302.06,0,0.08543
366,376.373,302.06,370.344,302.06,0,0.08543
366,376.373,302.06,370.344,302.06,0,0.08543
370,376.373,302.06,370.344,302.06,0,0.08543
370,376.373,302.06,370.344,302.06,0,0.08543
371,376.373,302.06,370.344,302.06,0,0.08543
371,376.373,302.06,370.344,302.06,0,0.08543
375,376.373,302.06,370.344,302.06,0,0.08543
375,376.373,302.06,370.344,302.06,0,0.08543
376,376.373,302.06,370.344,302.06,0,0.08543
376,376.373,302.06,370.344,302.06,0,0.08543
380,376.373,302.06,370.344,302.06,0,0.08543
380,376.373,302.06,370.344,302.06,0,0.08543
381,376.373,302.06,370.344,302.06,0,0.08543
381,376.373,302.06,370.344,302.06,0,0.08543
385,376.373,302.06,370.344,302.06,0,0.08543
385,376.373,302.06,370.344,302.06,0,0.08543
386,376.373,302.06,370.344,302.06,0,0.08543
386,376.373,302.06,370.344,302.06,0,0.08543
390,376.373,302.06,370.344,302.06,0,0.08543
390,376.373,302.06,370.344,302.06,0,0.08543
391,376.373,302.06,370.344,302.06,0,0.08543
391,376.373,302.06,370.344,302.06,0,0.08543
395,376.373,302.06,370.344,302.06,0,0.08543
395,376.373,302.06,370.344,302.06,0,0.08543
396,376.373,302.06,370.344,302.06,0,0.08543
396,376.373,302.06,370.344,302.06,0,0.08543
400,376.373,302.06,370.344,302.06,0,0.08543
400,376.373,302.06,370.344,302.06,0,0.08543
401,376.373,302.06,370.344,302.06,0,0.08543
401,376.373,302.06,370.344,302.06,0,0.08543
405,376.373,302.06,370.344,302.06,0,0.08543
405,376.373,302.06,370.344,302.06,0,0.08543
406,376.373,302.06,370.344,302.06,0,0.08543
406,376.373,302.06,370.344,302.06,0,0.08543
410,376.373,302.06,370.344,302.06,0,0.08543
410,376.373,302.06,370.344,302.06,0,0.08543
411,376.373,302.06,370.344,302.06,0,0.08543
411,376.373,302.06,370.344,302.06,0,0.08543
415,376.373,302.06,370.344,302.06,0,0.08543
415,376.373,302.06,370.344,302.06,0,0.08543
416,376.373,302.06,370.344,302.06,0,0.08543
416,376.373,302.06,370.344,302.06,0,0.08543
420,376.373,302.06,370.344,302.06,0,0.08543
420,376.373,302.06,370.344,302.06,0,0.08543
421,376.373,302.06,370.344,302.06,0,0.08543
421,376.373,302.06,370.344,302.06,0,0.08543
425,376.373,302.06,370.344,302.06,0,0.08543
425,376.373,302.06,370.344,302.06,0,0.08543
426,376.373,302.06,370.344,302.06,0,0.08543
426,376.373,302.06,370.344,302.06,0,0.08543
430,376.373,302.06,370.344,302.06,0,0.08543
430,376.373,302.06,370.344,302.06,0,0.08543
431,376.373,302.06,370.344,302.06,0,0.08543
431,376.373,302.06,370.344,302.06,0,0.08543
435,376.373,302.06,370.344,302.06,0,0.08543
435,376.373,302.06,370.344,302.06,0,0.08543
436,376.373,302.06,370.344,302.06,0,0.08543
436,376.373,302.06,370.344,302.06,0,0.08543
440,376.373,302.06,370.344,302.06,0,0.08543
440,376.373,302.06,370.344,302.06,0,0.08543
441,376.373,302.06,370.344,302.06,0,0.08543
441,376.373,302.06,370.344,302.06,0,0.08543
445,376.373,302.06,370.344,302.06,0,0.08543
445,376.373,302.06,370.344,302.06,0,0.08543
446,376.373,302.06,370.344,302.06,0,0.08543
446,376.373,302.06,370.344,302.06,0,0.08543
450,376.373,302.06,370.344,302.06,0,0.08543
450,376.373,302.06,370.344,302.06,0,0.08543
451,376.373,302.06,370.344,302.06,0,0.08543
451,376.373,302.06,370.344,302.06,0,0.08543
455,376.373,302.06,370.344,302.06,0,0.08543
455,376.373,302.06,370.344,302.06,0,0.08543
456,376.373,302.06,370.344,302.06,0,0.08543
456,376.373,302.06,370.344,302.06,0,0.08543
460,376.373,302.06,370.344,302.06,0,0.08543
460,376.373,302.06,370.344,302.06,0,0.08543
461,376.373,302.06,370.344,302.06,0,0.08543
461,376.373,302.06,370.344,302.06,0,0.08543
465,376.373,302.06,370.344,302.06,0,0.08543
465,376.373,302.06,370.344,302.06,0,0.08543
466,376.373,302.06,370.344,302.06,0,0.08543
466,376.373,302.06,370.344,302.06,0,0.08543
470,376.373,302.06,370.344,302.06,0,0.08543
470,376.373,302.06,370.344,302.06,0,0.08543
471,376.373,302.06,370.344,302.06,0,0.08543
471,376.373,302.06,370.344,302.06,0,0.08543
475,376.373,302.06,370.344,302.06,0,0.08543
475,376.373,302.06,370.344,302.06,0,0.08543
476,376.373,302.06,370.344,302.06,0,0.08543
476,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
481,376.373,335.352,366.8,302.06,1.21894,0.08543
481,376.373,335.352,366.8,302.06,1.21894,0.08543
485,376.373,359.24,370.31,302.06,1.21894,0.08543
485,376.373,359.24,370.31,302.06,1.21894,0.08543
486,376.373,359.436,370.33,302.06,1.21894,0.08543
486,376.373,359.436,370.33,302.06,1.21894,0.08543
490,376.373,359.585,370.345,302.06,1.21894,0.08543
490,376.373,359.585,370.345,302.06,1.21894,0.08543
491,376.373,359.576,370.344,302.06,1.21894,0.08543
491,376.373,359.576,370.344,302.06,1.21894,0.08543
495,376.373,359.571,370.344,302.06,1.21894,0.08543
495,376.373,359.571,370.344,302.06,1.21894,0.08543
496,376.373,359.571,370.344,302.06,1.21894,0.08543
496,376.373,359.571,370.344,302.06,1.21894,0.08543
500,376.373,359.571,370.344,302.06,1.21894,0.08543
500,376.373,359.571,370.344,302.06,1.21894,0.08543
501,376.373,359.571,370.344,302.06,1.21894,0.08543
501,376.373,359.571,370.344,302.06,1.21894,0.08543
501.596,376.373,359.571,370.344,302.06,1.21894,0.08543
501.596,376.373,359.571,370.344,302.06,1.21894,0.08543
505,376.373,359.571,370.344,302.06,1.21894,0.08543
505,376.373,359.571,370.344,302.06,1.21894,0.08543
506,376.373,359.571,370.344,302.06,1.21894,0.08543
506,376.373,359.571,370.344,302.06,1.21894,0.08543
510,376.373,359.571,370.344,302.06,1.21894,0.08543
510,376.373,359.571,370.344,302.06,1.21894,0.08543
511,376.373,359.571,370.344,302.06,1.21894,0.08543
511,376.373,359.571,370.344,302.06,1.21894,0.08543
515,376.373,359.571,370.344,302.06,1.21894,0.08543
515,376.373,359.571,370.344,302.06,1.21894,0.08543
516,376.373,359.571,370.344,302.06,1.21894,0.08543
516,376.373,359.571,370.344,302.06,1.21894,0.08543
520,376.373,359.571,370.344,302.06,1.21894,0.08543
520,376.373,359.571,370.344,302.06,1.21894,0.08543
521,376.373,359.571,370.344,302.06,1.21894,0.08543
521,376.373,359.571,370.344,302.06,1.21894,0.08543
525,376.373,359.571,370.344,302.06,1.21894,0.08543
525,376.373,359.571,370.344,302.06,1.21894,0.08543
526,376.373,359.571,370.344,302.06,1.21894,0.08543
526,376.373,359.571,370.344,302.06,1.21894,0.08543
530,376.373,359.571,370.344,302.06,1.21894,0.08543
530,376.373,359.571,370.344,302.06,1.21894,0.08543
531,376.373,359.571,370.344,302.06,1.21894,0.08543
531,376.373,359.571,370.344,302.06,1.21894,0.08543
535,376.373,359.571,370.344,302.06,1.21894,0.08543
535,376.373,359.571,370.344,302.06,1.21894,0.08543
536,376.373,359.571,370.344,302.06,1.21894,0.08543
536,376.373,359.571,370.344,302.06,1.21894,0.08543
540,376.373,359.571,370.344,302.06,1.21894,0.08543
540,376.373,359.571,370.344,302.06,1.21894,0.08543
541,376.373,359.571,370.344,302.06,1.21894,0.08543
541,376.373,359.571,370.344,302.06,1.21894,0.08543
545,376.373,359.571,370.344,302.06,1.21894,0.08543
545,376.373,359.571,370.344,302.06,1.21894,0.08543
546,376.373,359.571,370.344,302.06,1.21894,0.08543
546,376.373,359.571,370.344,302.06,1.21894,0.08543
550,376.373,359.571,370.344,302.06,1.21894,0.08543
550,376.373,359.571,370.344,302.06,1.21894,0.08543
551,376.373,359.571,370.344,302.06,1.21894,0.08543
551,376.373,359.571,370.344,302.06,1.21894,0.08543
555,376.373,359.571,370.344,302.06,1.21894,0.08543
555,376.373,359.571,370.344,302.06,1.21894,0.08543
556,376.373,359.571,370.344,302.06,1.21894,0.08543
556,376.373,359.571,370.344,302.06,1.21894,0.08543
560,376.373,359.571,370.344,302.06,1.21894,0.08543
560,376.373,359.571,370.344,302.06,1.21894,0.08543
561,376.373,359.571,370.344,302.06,1.21894,0.08543
561,376.373,359.571,370.344,302.06,1.21894,0.08543
565,376.373,359.571,370.344,302.06,1.21894,0.08543
565,376.373,359.571,370.344,302.06,1.21894,0.08543
566,376.373,359.571,370.344,302.06,1.21894,0.08543
566,376.373,359.571,370.344,302.06,1.21894,0.08543
570,376.373,359.571,370.344,302.06,1.21894,0.08543
570,376.373,359.571,370.344,302.06,1.21894,0.08543
571,376.373,359.571,370.344,302.06,1.21894,0.08543
571,376.373,359.571,370.344,302.06,1.21894,0.08543
575,376.373,359.571,370.344,302.06,1.21894,0.08543
575,376.373,359.571,370.344,302.06,1.21894,0.08543
576,376.373,359.571,370.344,302.06,1.21894,0.08543
576,376.373,359.571,370.344,302.06,1.21894,0.08543
580,376.373,359.571,370.344,302.06,1.21894,0.08543
580,376.373,359.571,370.344,302.06,1.21894,0.08543
581,376.373,359.571,370.344,302.06,1.21894,0.08543
581,376.373,359.571,370.344,302.06,1.21894,0.08543
585,376.373,359.571,370.344,302.06,1.21894,0.08543
585,376.373,359.571,370.344,302.06,1.21894,0.08543
586,376.373,359.571,370.344,302.06,1.21894,0.08543
586,376.373,359.571,370.344,302.06,1.21894,0.08543
590,376.373,359.571,370.344,302.06,1.21894,0.08543
590,376.373,359.571,370.344,302.06,1.21894,0.08543
591,376.373,359.571,370.344,302.06,1.21894,0.08543
591,376.373,359.571,370.344,302.06,1.21894,0.08543
595,376.373,359.571,370.344,302.06,1.21894,0.08543
595,376.373,359.571,370.344,302.06,1.21894,0.08543
596,376.373,359.571,370.344,302.06,1.21894,0.08543
596,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
600,376.373,359.571,370.344,302.06,1.21894,0.08543
